date,followers,engagement_rate,posts,video_views
2026-01-02,1229518,5.67,2,819984
2026-01-03,1223839,3.88,5,765757
2026-01-04,1179972,5.38,3,674484
2026-01-05,1172904,5.17,5,808062
2026-01-06,1185330,5.49,4,883609
2026-01-07,1206848,5.29,5,432028
2026-01-08,1176038,7.46,2,531447
2026-01-09,1212414,4.36,2,1160563
2026-01-10,1191850,4.47,6,741124
2026-01-11,1207308,4.38,6,1112395
2026-01-12,1196421,4.44,4,926045
2026-01-13,1182624,4.36,3,732659
2026-01-14,1252087,6.19,5,1185691
2026-01-15,1233942,6.42,4,601207
2026-01-16,1168492,4.43,6,676369
2026-01-17,1247794,4.17,5,678544
2026-01-18,1207630,5.47,6,642962
2026-01-19,1253400,4.45,5,566847
2026-01-20,1244283,5.63,3,1020488
2026-01-21,1203623,5.2,4,896387
2026-01-22,1159039,3.48,5,719065
2026-01-23,1187629,6.55,2,987220
2026-01-24,1219787,6.8,2,331585
2026-01-25,1231483,4.39,5,715231
2026-01-26,1188672,4.61,5,867873
2026-01-27,1175444,5.29,5,589102
2026-01-28,1258856,5.33,2,588161
2026-01-29,1278128,5.66,2,686821
2026-01-30,1224108,7.01,5,1115858
2026-01-31,1181944,4.82,6,579922
2026-02-01,1194993,4.2,6,1000601
2026-02-02,1164280,3.62,3,342229
2026-02-03,1276787,4.27,4,386652
2026-02-04,1177836,4.97,6,549474
2026-02-05,1236717,6.79,2,1003724
2026-02-06,1199079,4.48,6,560116
2026-02-07,1235988,5.22,3,1171310
2026-02-08,1249684,4.98,3,1143488
2026-02-09,1274196,6.19,4,820985
2026-02-10,1193247,7.53,6,319975
2026-02-11,1167962,4.47,2,457795
2026-02-12,1185342,4.51,2,716495
2026-02-13,1289002,6.04,5,509373
2026-02-14,1286849,5.68,2,497133
2026-02-15,1250345,6.85,4,1174829
2026-02-16,1251871,5.58,4,1004513
2026-02-17,1261940,4.64,2,595286
2026-02-18,1194551,5.59,2,1113348
2026-02-19,1299432,6.11,5,888612
2026-02-20,1230465,5.82,2,476037
2026-02-21,1226288,5.51,5,688076
2026-02-22,1246724,6.07,5,960008
2026-02-23,1179310,6.17,2,990493
2026-02-24,1197277,6.38,3,920347
2026-02-25,1281990,5.65,3,922605
2026-02-26,1186254,4.83,5,1025495
2026-02-27,1264369,5.15,2,597190
